group,run,tick,day,datetime,new_cases,cumulative_cases,new_cases_age,cumulative_cases_age,n_inf_age_0_29,n_inf_age_30_59,n_inf_age_60,scale_to_population,scale_to_100k,cumulative_cases/100k,adj_cumulative_cases/100k,date,empirical_cumulative_cases,empirical_cumulative_cases/100k,name_of_run
10,0,0,0,2020-03-25,50,50,2145,2145,19,18,13,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,1,0,0,2020-03-25,50,50,2091,2091,19,17,14,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,2,0,0,2020-03-25,50,50,2316,2316,13,18,19,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,3,0,0,2020-03-25,50,50,2257,2257,14,21,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,4,0,0,2020-03-25,50,50,2415,2415,13,22,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,5,0,0,2020-03-25,50,50,2381,2381,11,28,11,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,6,0,0,2020-03-25,50,50,2440,2440,13,17,20,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,7,0,0,2020-03-25,50,50,2243,2243,16,16,18,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,8,0,0,2020-03-25,50,50,1905,1905,19,23,8,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,9,0,0,2020-03-25,50,50,2412,2412,11,26,13,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,10,0,0,2020-03-25,50,50,2307,2307,14,19,17,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,11,0,0,2020-03-25,50,50,2306,2306,13,21,16,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,12,0,0,2020-03-25,50,50,2344,2344,14,20,16,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,13,0,0,2020-03-25,50,50,2242,2242,15,23,12,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,14,0,0,2020-03-25,50,50,2345,2345,14,22,14,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,15,0,0,2020-03-25,50,50,2388,2388,14,21,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,16,0,0,2020-03-25,50,50,2146,2146,13,27,10,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,17,0,0,2020-03-25,50,50,2459,2459,10,24,16,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,18,0,0,2020-03-25,50,50,2419,2419,11,22,17,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,19,0,0,2020-03-25,50,50,2067,2067,17,23,10,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,20,0,0,2020-03-25,50,50,2447,2447,11,21,18,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,21,0,0,2020-03-25,50,50,2058,2058,21,19,10,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,22,0,0,2020-03-25,50,50,2191,2191,17,20,13,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,23,0,0,2020-03-25,50,50,2171,2171,16,20,14,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,24,0,0,2020-03-25,50,50,2161,2161,16,21,13,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,25,0,0,2020-03-25,50,50,2163,2163,17,20,13,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,26,0,0,2020-03-25,50,50,2117,2117,17,18,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,27,0,0,2020-03-25,50,50,2114,2114,17,20,13,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,28,0,0,2020-03-25,50,50,2250,2250,13,25,12,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,29,0,0,2020-03-25,50,50,2104,2104,17,20,13,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,30,0,0,2020-03-25,50,50,2008,2008,23,16,11,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,31,0,0,2020-03-25,50,50,2094,2094,15,24,11,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,32,0,0,2020-03-25,50,50,2523,2523,10,20,20,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,33,0,0,2020-03-25,50,50,2328,2328,13,25,12,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,34,0,0,2020-03-25,50,50,2420,2420,10,27,13,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,35,0,0,2020-03-25,50,50,2097,2097,15,25,10,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,36,0,0,2020-03-25,50,50,2117,2117,18,16,16,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,37,0,0,2020-03-25,50,50,2158,2158,14,27,9,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,38,0,0,2020-03-25,50,50,1887,1887,22,19,9,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,39,0,0,2020-03-25,50,50,2258,2258,16,16,18,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,40,0,0,2020-03-25,50,50,2130,2130,15,27,8,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,41,0,0,2020-03-25,50,50,2236,2236,13,27,10,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,42,0,0,2020-03-25,50,50,2235,2235,17,16,17,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,43,0,0,2020-03-25,50,50,2461,2461,12,21,17,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,44,0,0,2020-03-25,50,50,2099,2099,19,19,12,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,45,0,0,2020-03-25,50,50,2315,2315,13,24,13,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,46,0,0,2020-03-25,50,50,2481,2481,10,24,16,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,47,0,0,2020-03-25,50,50,2124,2124,19,16,15,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,48,0,0,2020-03-25,50,50,2385,2385,13,23,14,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,49,0,0,2020-03-25,50,50,2061,2061,19,21,10,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
10,50,0,0,2020-03-25,50,50,2201,2201,17,18,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_schools_10_5
