group,run,tick,day,datetime,new_cases,cumulative_cases,new_cases_age,cumulative_cases_age,n_inf_age_0_29,n_inf_age_30_59,n_inf_age_60,scale_to_population,scale_to_100k,cumulative_cases/100k,adj_cumulative_cases/100k,date,empirical_cumulative_cases,empirical_cumulative_cases/100k
9,35,0,0,2020-03-23,50,50,2322,2322,11,24,15,131.1682666346673,0.999980000399992,49.9990000199996,52.09997431594769,2020-03-23,6834,52.09997431594769
9,36,0,0,2020-03-23,50,50,2110,2110,15,25,10,131.16957830421697,0.999990000099999,49.99950000499995,52.09997431594769,2020-03-23,6834,52.09997431594769
9,37,0,0,2020-03-23,50,50,2305,2305,11,23,16,131.17089,1.0,50.0,52.09997431594769,2020-03-23,6834,52.09997431594769
9,38,0,0,2020-03-23,50,50,2568,2568,7,24,19,131.17089,1.0,50.0,52.09997431594769,2020-03-23,6834,52.09997431594769
9,39,0,0,2020-03-23,50,50,2068,2068,19,20,11,131.17089,1.0,50.0,52.09997431594769,2020-03-23,6834,52.09997431594769
9,40,0,0,2020-03-23,50,50,2208,2208,13,28,9,131.17089,1.0,50.0,52.09997431594769,2020-03-23,6834,52.09997431594769
9,41,0,0,2020-03-23,50,50,2456,2456,10,24,16,131.17089,1.0,50.0,52.09997431594769,2020-03-23,6834,52.09997431594769
9,42,0,0,2020-03-23,50,50,2310,2310,14,17,19,131.17089,1.0,50.0,52.09997431594769,2020-03-23,6834,52.09997431594769
9,43,0,0,2020-03-23,50,50,2224,2224,13,24,13,131.16957830421697,0.999990000099999,49.99950000499995,52.09997431594769,2020-03-23,6834,52.09997431594769
9,44,0,0,2020-03-23,50,50,2372,2372,12,20,18,131.17089,1.0,50.0,52.09997431594769,2020-03-23,6834,52.09997431594769
9,45,0,0,2020-03-23,50,50,2387,2387,13,20,17,131.16957830421697,0.999990000099999,49.99950000499995,52.09997431594769,2020-03-23,6834,52.09997431594769
9,46,0,0,2020-03-23,50,50,2279,2279,14,21,15,131.1682666346673,0.999980000399992,49.9990000199996,52.09997431594769,2020-03-23,6834,52.09997431594769
9,47,0,0,2020-03-23,50,50,2267,2267,13,19,18,131.16695499135025,0.999970000899973,49.99850004499865,52.09997431594769,2020-03-23,6834,52.09997431594769
9,48,0,0,2020-03-23,50,50,2568,2568,9,21,20,131.17089,1.0,50.0,52.09997431594769,2020-03-23,6834,52.09997431594769
9,49,0,0,2020-03-23,50,50,2427,2427,12,19,19,131.1682666346673,0.999980000399992,49.9990000199996,52.09997431594769,2020-03-23,6834,52.09997431594769
9,50,0,0,2020-03-23,50,50,2453,2453,13,16,21,131.17089,1.0,50.0,52.09997431594769,2020-03-23,6834,52.09997431594769
9,51,0,0,2020-03-23,50,50,2490,2490,11,22,17,131.1682666346673,0.999980000399992,49.9990000199996,52.09997431594769,2020-03-23,6834,52.09997431594769
9,52,0,0,2020-03-23,50,50,2321,2321,12,21,17,131.17089,1.0,50.0,52.09997431594769,2020-03-23,6834,52.09997431594769
9,53,0,0,2020-03-23,50,50,2293,2293,13,18,19,131.17089,1.0,50.0,52.09997431594769,2020-03-23,6834,52.09997431594769
9,54,0,0,2020-03-23,50,50,2122,2122,15,23,12,131.16957830421697,0.999990000099999,49.99950000499995,52.09997431594769,2020-03-23,6834,52.09997431594769
9,55,0,0,2020-03-23,50,50,2608,2608,5,27,18,131.16957830421697,0.999990000099999,49.99950000499995,52.09997431594769,2020-03-23,6834,52.09997431594769
9,56,0,0,2020-03-23,50,50,2160,2160,16,21,13,131.1682666346673,0.999980000399992,49.9990000199996,52.09997431594769,2020-03-23,6834,52.09997431594769
9,57,0,0,2020-03-23,50,50,2311,2311,11,27,12,131.17089,1.0,50.0,52.09997431594769,2020-03-23,6834,52.09997431594769
9,58,0,0,2020-03-23,50,50,2090,2090,14,22,14,131.17089,1.0,50.0,52.09997431594769,2020-03-23,6834,52.09997431594769
9,59,0,0,2020-03-23,50,50,2395,2395,11,21,18,131.16957830421697,0.999990000099999,49.99950000499995,52.09997431594769,2020-03-23,6834,52.09997431594769
9,0,17,1,2020-03-24,37,87,1664,3853,29,31,27,131.17089,1.0,87.0,89.09997431594769,2020-03-24,8052,61.38557114310957
9,1,17,1,2020-03-24,33,83,1637,3951,20,27,36,131.17089,1.0,83.0,85.09997431594769,2020-03-24,8052,61.38557114310957
9,2,17,1,2020-03-24,28,78,1486,3933,15,36,27,131.16564337426502,0.999960001599936,77.99688012479501,80.0988543607459,2020-03-24,8052,61.38557114310957
9,3,17,1,2020-03-24,26,76,1248,3582,15,36,25,131.16695499135025,0.999970000899973,75.99772006839795,78.099194339347,2020-03-24,8052,61.38557114310957
9,4,17,1,2020-03-24,32,82,1466,3815,24,28,30,131.1682666346673,0.999980000399992,81.99836003279934,84.09933432874743,2020-03-24,8052,61.38557114310957
9,5,17,1,2020-03-24,29,79,1190,3317,29,31,19,131.17089,1.0,79.0,81.09997431594769,2020-03-24,8052,61.38557114310957
9,6,17,1,2020-03-24,32,82,1609,3927,26,28,28,131.1682666346673,0.999980000399992,81.99836003279934,84.09933432874743,2020-03-24,8052,61.38557114310957
9,7,17,1,2020-03-24,34,84,1490,3794,24,39,21,131.16957830421697,0.999990000099999,83.99916000839993,86.09963431934767,2020-03-24,8052,61.38557114310957
9,8,17,1,2020-03-24,30,80,1677,4234,16,25,39,131.17089,1.0,80.0,82.09997431594769,2020-03-24,8052,61.38557114310957
