group,run,tick,day,datetime,new_cases,cumulative_cases,new_cases_age,cumulative_cases_age,n_inf_age_0_29,n_inf_age_30_59,n_inf_age_60,scale_to_population,scale_to_100k,cumulative_cases/100k,adj_cumulative_cases/100k,date,empirical_cumulative_cases,empirical_cumulative_cases/100k,name_of_run
10,31,0,0,2020-03-25,50,50,2073,2073,17,21,12,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,32,0,0,2020-03-25,50,50,2294,2294,17,16,17,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,33,0,0,2020-03-25,50,50,2215,2215,16,20,14,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,34,0,0,2020-03-25,50,50,2007,2007,21,18,11,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,35,0,0,2020-03-25,50,50,2418,2418,11,24,15,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,36,0,0,2020-03-25,50,50,2043,2043,19,20,11,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,37,0,0,2020-03-25,50,50,2272,2272,18,17,15,9.87757489700412,0.999960001599936,49.9980000799968,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,38,0,0,2020-03-25,50,50,2347,2347,14,25,11,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,39,0,0,2020-03-25,50,50,2087,2087,18,21,11,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,40,0,0,2020-03-25,50,50,2233,2233,15,24,11,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,41,0,0,2020-03-25,50,50,2241,2241,13,27,10,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,42,0,0,2020-03-25,50,50,2129,2129,16,23,11,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,43,0,0,2020-03-25,50,50,2538,2538,11,19,20,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,44,0,0,2020-03-25,50,50,2395,2395,13,22,15,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,45,0,0,2020-03-25,50,50,2453,2453,10,23,17,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,46,0,0,2020-03-25,50,50,1993,1993,20,20,10,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,47,0,0,2020-03-25,50,50,2280,2280,16,19,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
